Name,Format,Type,Description
id,uuid,string,
title,text,string,
description,text,string,
severity,public.severity_level,string,
suggested_fix,text,string,
impact,text,string,
url,text,string,
selector,text,string,
code_snippet,text,string,
screenshots,text[],array,
status,public.issue_status,string,
created_at,timestamp with time zone,string,
updated_at,timestamp with time zone,string,
user_id,uuid,string,
